"Step","layer0_mlp_gpt2_jumprelu - losses/l0_loss","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer0_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer0_mlp_gpt2_singular_fisher - losses/l0_loss","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer0_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer10_mlp_gpt2_jumprelu - losses/l0_loss","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer10_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer10_mlp_gpt2_singular_fisher - losses/l0_loss","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer10_mlp_gpt2_singular_fisher - losses/l0_loss__MAX","layer5_mlp_gpt2_jumprelu - losses/l0_loss","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MIN","layer5_mlp_gpt2_jumprelu - losses/l0_loss__MAX","layer5_mlp_gpt2_singular_fisher - losses/l0_loss","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MIN","layer5_mlp_gpt2_singular_fisher - losses/l0_loss__MAX"
"1469","59942.75","59942.75","59942.75","34541.30078125","34541.30078125","34541.30078125","60637.75","60637.75","60637.75","36826.8984375","36826.8984375","36826.8984375","59433.1484375","59433.1484375","59433.1484375","35863.6484375","35863.6484375","35863.6484375"
"1499","60306.44921875","60306.44921875","60306.44921875","34650.3984375","34650.3984375","34650.3984375","60881.59765625","60881.59765625","60881.59765625","36889.55078125","36889.55078125","36889.55078125","60051","60051","60051","35997.80078125","35997.80078125","35997.80078125"
"1529","60269.94921875","60269.94921875","60269.94921875","34598.05078125","34598.05078125","34598.05078125","61003.546875","61003.546875","61003.546875","37109","37109","37109","60264.25","60264.25","60264.25","35558.55078125","35558.55078125","35558.55078125"
"1559","60239","60239","60239","34912.75","34912.75","34912.75","60913.296875","60913.296875","60913.296875","37481.1484375","37481.1484375","37481.1484375","60344.546875","60344.546875","60344.546875","35979","35979","35979"
"1589","60358.84765625","60358.84765625","60358.84765625","34559.34765625","34559.34765625","34559.34765625","60912.046875","60912.046875","60912.046875","37304.1484375","37304.1484375","37304.1484375","59814.296875","59814.296875","59814.296875","36024.19921875","36024.19921875","36024.19921875"
"1619","60417.1484375","60417.1484375","60417.1484375","34650.80078125","34650.80078125","34650.80078125","60524.25","60524.25","60524.25","36830.8984375","36830.8984375","36830.8984375","60103.8984375","60103.8984375","60103.8984375","35731.05078125","35731.05078125","35731.05078125"
"1649","60524","60524","60524","34696","34696","34696","60860.6484375","60860.6484375","60860.6484375","37334.1484375","37334.1484375","37334.1484375","59919.546875","59919.546875","59919.546875","35472.8984375","35472.8984375","35472.8984375"
"1679","59794.8984375","59794.8984375","59794.8984375","34868.05078125","34868.05078125","34868.05078125","60556.94921875","60556.94921875","60556.94921875","37321.3984375","37321.3984375","37321.3984375","59188.59765625","59188.59765625","59188.59765625","35232.80078125","35232.80078125","35232.80078125"
"1709","59927.546875","59927.546875","59927.546875","34613.84765625","34613.84765625","34613.84765625","60827.3984375","60827.3984375","60827.3984375","37127.55078125","37127.55078125","37127.55078125","60426.1484375","60426.1484375","60426.1484375","35564","35564","35564"
"1739","60226.19921875","60226.19921875","60226.19921875","34454.05078125","34454.05078125","34454.05078125","60839.69921875","60839.69921875","60839.69921875","37344.6484375","37344.6484375","37344.6484375","59908.3984375","59908.3984375","59908.3984375","35645.69921875","35645.69921875","35645.69921875"
"1769","60194.3984375","60194.3984375","60194.3984375","34596.05078125","34596.05078125","34596.05078125","60838.296875","60838.296875","60838.296875","37572.25","37572.25","37572.25","59961.59765625","59961.59765625","59961.59765625","35224.34765625","35224.34765625","35224.34765625"
"1799","60487.1484375","60487.1484375","60487.1484375","34584.6484375","34584.6484375","34584.6484375","61033.19921875","61033.19921875","61033.19921875","37809.75","37809.75","37809.75","60195","60195","60195","35123.59765625","35123.59765625","35123.59765625"
"1829","60126.1484375","60126.1484375","60126.1484375","34586.30078125","34586.30078125","34586.30078125","60695.6484375","60695.6484375","60695.6484375","38358.30078125","38358.30078125","38358.30078125","60006.1484375","60006.1484375","60006.1484375","34923.3984375","34923.3984375","34923.3984375"
"1859","60332.69921875","60332.69921875","60332.69921875","34477.5","34477.5","34477.5","60938.546875","60938.546875","60938.546875","37877.75","37877.75","37877.75","60102","60102","60102","35377.5","35377.5","35377.5"
"1889","60370.34765625","60370.34765625","60370.34765625","34509.25","34509.25","34509.25","60866.8984375","60866.8984375","60866.8984375","37554.69921875","37554.69921875","37554.69921875","59939.046875","59939.046875","59939.046875","35131.94921875","35131.94921875","35131.94921875"
"1919","60155.3984375","60155.3984375","60155.3984375","34512.34765625","34512.34765625","34512.34765625","60765.19921875","60765.19921875","60765.19921875","38334.05078125","38334.05078125","38334.05078125","60252.34765625","60252.34765625","60252.34765625","35227.09765625","35227.09765625","35227.09765625"
"1949","60619.75","60619.75","60619.75","34249.19921875","34249.19921875","34249.19921875","60956.296875","60956.296875","60956.296875","37620","37620","37620","60344.34765625","60344.34765625","60344.34765625","35035.19921875","35035.19921875","35035.19921875"
"1979","60179.046875","60179.046875","60179.046875","34726.94921875","34726.94921875","34726.94921875","60751.1484375","60751.1484375","60751.1484375","37680.1484375","37680.1484375","37680.1484375","60095.8984375","60095.8984375","60095.8984375","35571.44921875","35571.44921875","35571.44921875"
"2009","60089","60089","60089","34281.1484375","34281.1484375","34281.1484375","60485.69921875","60485.69921875","60485.69921875","37371.59765625","37371.59765625","37371.59765625","59420.09765625","59420.09765625","59420.09765625","35099.55078125","35099.55078125","35099.55078125"
"2039","60120.94921875","60120.94921875","60120.94921875","34576","34576","34576","60945.25","60945.25","60945.25","37925.5","37925.5","37925.5","60141.09765625","60141.09765625","60141.09765625","35150.3984375","35150.3984375","35150.3984375"
"2069","60208.69921875","60208.69921875","60208.69921875","34470.94921875","34470.94921875","34470.94921875","60880.84765625","60880.84765625","60880.84765625","37727.75","37727.75","37727.75","60207","60207","60207","34894.94921875","34894.94921875","34894.94921875"
"2099","60475.8984375","60475.8984375","60475.8984375","34192.6484375","34192.6484375","34192.6484375","60638.19921875","60638.19921875","60638.19921875","37869.59765625","37869.59765625","37869.59765625","60214.6484375","60214.6484375","60214.6484375","35247.84765625","35247.84765625","35247.84765625"
"2129","60262.44921875","60262.44921875","60262.44921875","34378.05078125","34378.05078125","34378.05078125","60859.84765625","60859.84765625","60859.84765625","37749.44921875","37749.44921875","37749.44921875","60354.3984375","60354.3984375","60354.3984375","35388.30078125","35388.30078125","35388.30078125"
"2159","60530.5","60530.5","60530.5","34383.75","34383.75","34383.75","60809.6484375","60809.6484375","60809.6484375","37618.05078125","37618.05078125","37618.05078125","60607.94921875","60607.94921875","60607.94921875","35299.55078125","35299.55078125","35299.55078125"
"2189","60411.5","60411.5","60411.5","34433.3984375","34433.3984375","34433.3984375","60784.3984375","60784.3984375","60784.3984375","37537.19921875","37537.19921875","37537.19921875","60486.546875","60486.546875","60486.546875","35203.05078125","35203.05078125","35203.05078125"
"2219","60457.19921875","60457.19921875","60457.19921875","34446.30078125","34446.30078125","34446.30078125","60989.59765625","60989.59765625","60989.59765625","38043.8984375","38043.8984375","38043.8984375","60524.34765625","60524.34765625","60524.34765625","35384.3984375","35384.3984375","35384.3984375"
"2249","60179.19921875","60179.19921875","60179.19921875","34432.19921875","34432.19921875","34432.19921875","60993.3984375","60993.3984375","60993.3984375","37554.69921875","37554.69921875","37554.69921875","60604.546875","60604.546875","60604.546875","35220.55078125","35220.55078125","35220.55078125"
"2279","60290.3984375","60290.3984375","60290.3984375","34524","34524","34524","60884.296875","60884.296875","60884.296875","37804.3984375","37804.3984375","37804.3984375","60123.296875","60123.296875","60123.296875","35187.6484375","35187.6484375","35187.6484375"
"2309","60479.046875","60479.046875","60479.046875","34523.69921875","34523.69921875","34523.69921875","60985.94921875","60985.94921875","60985.94921875","38398.25","38398.25","38398.25","60556.046875","60556.046875","60556.046875","35208.09765625","35208.09765625","35208.09765625"
"2339","60476.34765625","60476.34765625","60476.34765625","34363.3984375","34363.3984375","34363.3984375","60950.796875","60950.796875","60950.796875","38114.3984375","38114.3984375","38114.3984375","60216.1484375","60216.1484375","60216.1484375","35025.55078125","35025.55078125","35025.55078125"
"2369","60528.5","60528.5","60528.5","34478.05078125","34478.05078125","34478.05078125","60957.296875","60957.296875","60957.296875","38166.1484375","38166.1484375","38166.1484375","60382.546875","60382.546875","60382.546875","35039.59765625","35039.59765625","35039.59765625"
"2399","60205.34765625","60205.34765625","60205.34765625","34689.19921875","34689.19921875","34689.19921875","60849.19921875","60849.19921875","60849.19921875","37646.8984375","37646.8984375","37646.8984375","60056.84765625","60056.84765625","60056.84765625","35326.30078125","35326.30078125","35326.30078125"
"2429","60367.19921875","60367.19921875","60367.19921875","34269.30078125","34269.30078125","34269.30078125","60680.1484375","60680.1484375","60680.1484375","37308.94921875","37308.94921875","37308.94921875","60611.69921875","60611.69921875","60611.69921875","35173.30078125","35173.30078125","35173.30078125"
"2459","60264.44921875","60264.44921875","60264.44921875","34292.69921875","34292.69921875","34292.69921875","60845.34765625","60845.34765625","60845.34765625","38334.1484375","38334.1484375","38334.1484375","60077.84765625","60077.84765625","60077.84765625","35206.34765625","35206.34765625","35206.34765625"
"2489","60555.75","60555.75","60555.75","34341.75","34341.75","34341.75","60838.44921875","60838.44921875","60838.44921875","38090.05078125","38090.05078125","38090.05078125","59952.6484375","59952.6484375","59952.6484375","34890.3984375","34890.3984375","34890.3984375"
"2519","59988.046875","59988.046875","59988.046875","34247.09765625","34247.09765625","34247.09765625","60648.8984375","60648.8984375","60648.8984375","37633.3984375","37633.3984375","37633.3984375","60294.59765625","60294.59765625","60294.59765625","35244.69921875","35244.69921875","35244.69921875"
"2549","60660.09765625","60660.09765625","60660.09765625","34117.30078125","34117.30078125","34117.30078125","60789.84765625","60789.84765625","60789.84765625","37610.09765625","37610.09765625","37610.09765625","60440.5","60440.5","60440.5","35122.09765625","35122.09765625","35122.09765625"
"2579","60505.296875","60505.296875","60505.296875","34516.6484375","34516.6484375","34516.6484375","60640.94921875","60640.94921875","60640.94921875","37574.8984375","37574.8984375","37574.8984375","60359.44921875","60359.44921875","60359.44921875","35096.30078125","35096.30078125","35096.30078125"
"2609","60600.5","60600.5","60600.5","34348.05078125","34348.05078125","34348.05078125","60659.69921875","60659.69921875","60659.69921875","37370.84765625","37370.84765625","37370.84765625","60506.5","60506.5","60506.5","35216.75","35216.75","35216.75"
"2639","60225.3984375","60225.3984375","60225.3984375","34034.3984375","34034.3984375","34034.3984375","60774.046875","60774.046875","60774.046875","37551.5","37551.5","37551.5","60704.59765625","60704.59765625","60704.59765625","35640","35640","35640"
"2669","60405.09765625","60405.09765625","60405.09765625","34050.44921875","34050.44921875","34050.44921875","60797.75","60797.75","60797.75","37011.05078125","37011.05078125","37011.05078125","60249.44921875","60249.44921875","60249.44921875","35375.44921875","35375.44921875","35375.44921875"
"2699","60695.296875","60695.296875","60695.296875","33966.84765625","33966.84765625","33966.84765625","61004.34765625","61004.34765625","61004.34765625","37495.30078125","37495.30078125","37495.30078125","60415.1484375","60415.1484375","60415.1484375","34889.09765625","34889.09765625","34889.09765625"
"2729","60732.6484375","60732.6484375","60732.6484375","33924.80078125","33924.80078125","33924.80078125","60876.546875","60876.546875","60876.546875","37149.75","37149.75","37149.75","60897.796875","60897.796875","60897.796875","35206.8984375","35206.8984375","35206.8984375"
"2759","60794.94921875","60794.94921875","60794.94921875","33908.80078125","33908.80078125","33908.80078125","61017","61017","61017","37470.5","37470.5","37470.5","60670.1484375","60670.1484375","60670.1484375","35114.44921875","35114.44921875","35114.44921875"
"2789","60448.546875","60448.546875","60448.546875","34314.3984375","34314.3984375","34314.3984375","60888.3984375","60888.3984375","60888.3984375","37805.6484375","37805.6484375","37805.6484375","60111.5","60111.5","60111.5","35263.84765625","35263.84765625","35263.84765625"
"2819","60724.046875","60724.046875","60724.046875","33774.19921875","33774.19921875","33774.19921875","60687.75","60687.75","60687.75","37142.69921875","37142.69921875","37142.69921875","60789.1484375","60789.1484375","60789.1484375","35018.8984375","35018.8984375","35018.8984375"
