"Step","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MAX"
"2969","1640.830078125","1640.830078125","1640.830078125","1640.830078125","1640.830078125","1640.830078125","1640.830078125","1640.830078125","1640.830078125","","","","","","","","",""
"2999","1685.5556640625","1685.5556640625","1685.5556640625","1685.5556640625","1685.5556640625","1685.5556640625","1685.5556640625","1685.5556640625","1685.5556640625","","","","","","","","",""
"3029","1648.4716796875","1648.4716796875","1648.4716796875","1648.4716796875","1648.4716796875","1648.4716796875","1648.4716796875","1648.4716796875","1648.4716796875","","","","","","","","",""
"3059","1724.4638671875","1724.4638671875","1724.4638671875","1724.4638671875","1724.4638671875","1724.4638671875","1724.4638671875","1724.4638671875","1724.4638671875","","","","","","","","",""
"3089","1644.88134765625","1644.88134765625","1644.88134765625","1644.88134765625","1644.88134765625","1644.88134765625","1644.88134765625","1644.88134765625","1644.88134765625","","","","","","","","",""
"3119","1695.6495361328125","1695.6495361328125","1695.6495361328125","1695.6495361328125","1695.6495361328125","1695.6495361328125","1695.6495361328125","1695.6495361328125","1695.6495361328125","","","","","","","","",""
"3149","1647.68798828125","1647.68798828125","1647.68798828125","1647.68798828125","1647.68798828125","1647.68798828125","1647.68798828125","1647.68798828125","1647.68798828125","","","","","","","","",""
"3179","1737.8948974609375","1737.8948974609375","1737.8948974609375","1737.8948974609375","1737.8948974609375","1737.8948974609375","1737.8948974609375","1737.8948974609375","1737.8948974609375","","","","","","","","",""
"3209","1620.156982421875","1620.156982421875","1620.156982421875","1620.156982421875","1620.156982421875","1620.156982421875","1620.156982421875","1620.156982421875","1620.156982421875","","","","","","","","",""
"3239","1709.48779296875","1709.48779296875","1709.48779296875","1709.48779296875","1709.48779296875","1709.48779296875","1709.48779296875","1709.48779296875","1709.48779296875","","","","","","","","",""
"3269","1617.8656005859375","1617.8656005859375","1617.8656005859375","1617.8656005859375","1617.8656005859375","1617.8656005859375","1617.8656005859375","1617.8656005859375","1617.8656005859375","","","","","","","","",""
"3299","1591.7918701171875","1591.7918701171875","1591.7918701171875","1591.7918701171875","1591.7918701171875","1591.7918701171875","1591.7918701171875","1591.7918701171875","1591.7918701171875","","","","","","","","",""
"3329","1637.939697265625","1637.939697265625","1637.939697265625","1637.939697265625","1637.939697265625","1637.939697265625","1637.939697265625","1637.939697265625","1637.939697265625","","","","","","","","",""
"3359","1715.951904296875","1715.951904296875","1715.951904296875","1715.951904296875","1715.951904296875","1715.951904296875","1715.951904296875","1715.951904296875","1715.951904296875","","","","","","","","",""
"3389","1623.638671875","1623.638671875","1623.638671875","1623.638671875","1623.638671875","1623.638671875","1623.638671875","1623.638671875","1623.638671875","","","","","","","","",""
